id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kondisi_korban,jumlah_korban,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,MENDERITA,0,JIWA,2012
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,HILANG,0,JIWA,2012
3,32,JAWA BARAT,3201,KABUPATEN BOGOR,MENINGGAL DUNIA,0,JIWA,2012
4,32,JAWA BARAT,3201,KABUPATEN BOGOR,LUKA-LUKA,0,JIWA,2012
5,32,JAWA BARAT,3201,KABUPATEN BOGOR,MENGUNGSI,1205,JIWA,2012
6,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,MENDERITA,2095,JIWA,2012
7,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,HILANG,2,JIWA,2012
8,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,MENINGGAL DUNIA,6,JIWA,2012
9,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,LUKA-LUKA,14,JIWA,2012
10,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,MENGUNGSI,389,JIWA,2012
11,32,JAWA BARAT,3203,KABUPATEN CIANJUR,MENDERITA,216,JIWA,2012
12,32,JAWA BARAT,3203,KABUPATEN CIANJUR,HILANG,0,JIWA,2012
13,32,JAWA BARAT,3203,KABUPATEN CIANJUR,MENINGGAL DUNIA,2,JIWA,2012
14,32,JAWA BARAT,3203,KABUPATEN CIANJUR,LUKA-LUKA,1,JIWA,2012
15,32,JAWA BARAT,3203,KABUPATEN CIANJUR,MENGUNGSI,109,JIWA,2012
16,32,JAWA BARAT,3204,KABUPATEN BANDUNG,MENDERITA,19537,JIWA,2012
17,32,JAWA BARAT,3204,KABUPATEN BANDUNG,HILANG,0,JIWA,2012
18,32,JAWA BARAT,3204,KABUPATEN BANDUNG,MENINGGAL DUNIA,2,JIWA,2012
19,32,JAWA BARAT,3204,KABUPATEN BANDUNG,LUKA-LUKA,12,JIWA,2012
20,32,JAWA BARAT,3204,KABUPATEN BANDUNG,MENGUNGSI,384,JIWA,2012
21,32,JAWA BARAT,3205,KABUPATEN GARUT,MENDERITA,3576,JIWA,2012
